ZIP,Total,teen,ratio
11377.0,428843,104384,0.24340842686
11378.0,126604,35233,0.278292944931
11379.0,55766,10972,0.196750708317
11385.0,162341,39806,0.24519991869
11411.0,63275,11996,0.189585144212
11412.0,127386,28191,0.221303753945
11413.0,120843,26268,0.217372954991
11414.0,47473,9012,0.189834221558
11415.0,128466,26746,0.208195164479
11416.0,136372,37777,0.27701434312
11417.0,167306,40384,0.241378073709
11418.0,207018,44144,0.213237496256
11419.0,220396,53204,0.241401840324
11420.0,194492,45477,0.233824527487
11421.0,161946,37008,0.228520617984
11422.0,54680,11299,0.206638624726
11423.0,99007,21772,0.219903643177
11426.0,42226,8096,0.191730213612
11427.0,75790,16125,0.212758939174
11428.0,105726,23141,0.218877097403
11429.0,63423,13629,0.214890497138
11432.0,168150,40092,0.238429973238
11433.0,133137,30153,0.226480993263
11434.0,184976,40037,0.216444295476
11435.0,238969,55155,0.230803995497
11436.0,87840,21066,0.239822404372
11691.0,66103,15001,0.226933724642
11692.0,40050,8968,0.223920099875
11693.0,15892,3227,0.203058142462
11694.0,32038,5836,0.18215868656
