date,type,num,quarter,year,month,weekday
2006-02-03,MISDEMEANOR,891.0,1,2006,2,4
2006-02-04,VIOLATION,183.0,1,2006,2,5
2006-02-04,FELONY,409.0,1,2006,2,5
2006-02-04,MISDEMEANOR,796.0,1,2006,2,5
2006-02-05,FELONY,343.0,1,2006,2,6
2006-02-05,MISDEMEANOR,679.0,1,2006,2,6
2006-02-05,VIOLATION,186.0,1,2006,2,6
2006-02-06,FELONY,437.0,1,2006,2,0
2006-02-06,VIOLATION,197.0,1,2006,2,0
2006-02-06,MISDEMEANOR,801.0,1,2006,2,0
2006-02-07,FELONY,429.0,1,2006,2,1
2006-02-07,VIOLATION,189.0,1,2006,2,1
2006-02-07,MISDEMEANOR,834.0,1,2006,2,1
2006-02-08,VIOLATION,184.0,1,2006,2,2
2006-02-08,FELONY,432.0,1,2006,2,2
2006-02-08,MISDEMEANOR,839.0,1,2006,2,2
2006-02-09,VIOLATION,176.0,1,2006,2,3
2006-02-09,MISDEMEANOR,754.0,1,2006,2,3
2006-02-09,FELONY,459.0,1,2006,2,3
2006-02-10,FELONY,548.0,1,2006,2,4
2006-02-10,MISDEMEANOR,851.0,1,2006,2,4
2006-02-10,VIOLATION,200.0,1,2006,2,4
2006-02-11,FELONY,430.0,1,2006,2,5
2006-02-11,VIOLATION,161.0,1,2006,2,5
2006-02-11,MISDEMEANOR,693.0,1,2006,2,5
2006-02-12,MISDEMEANOR,376.0,1,2006,2,6
2006-02-12,VIOLATION,142.0,1,2006,2,6
2006-02-12,FELONY,206.0,1,2006,2,6
2006-02-13,MISDEMEANOR,551.0,1,2006,2,0
2006-02-13,VIOLATION,149.0,1,2006,2,0
2006-02-13,FELONY,329.0,1,2006,2,0
2006-02-14,MISDEMEANOR,710.0,1,2006,2,1
2006-02-14,FELONY,404.0,1,2006,2,1
2006-02-14,VIOLATION,187.0,1,2006,2,1
2006-02-15,MISDEMEANOR,920.0,1,2006,2,2
2006-02-15,VIOLATION,214.0,1,2006,2,2
2006-02-15,FELONY,453.0,1,2006,2,2
2006-02-16,MISDEMEANOR,844.0,1,2006,2,3
2006-02-16,FELONY,475.0,1,2006,2,3
2006-02-16,VIOLATION,193.0,1,2006,2,3
2006-02-17,MISDEMEANOR,932.0,1,2006,2,4
2006-02-17,VIOLATION,220.0,1,2006,2,4
2006-02-17,FELONY,568.0,1,2006,2,4
2006-02-18,VIOLATION,149.0,1,2006,2,5
2006-02-18,FELONY,376.0,1,2006,2,5
2006-02-18,MISDEMEANOR,748.0,1,2006,2,5
2006-02-19,MISDEMEANOR,622.0,1,2006,2,6
2006-02-19,FELONY,356.0,1,2006,2,6
2006-02-19,VIOLATION,144.0,1,2006,2,6
2006-02-20,VIOLATION,158.0,1,2006,2,0
2006-02-20,MISDEMEANOR,695.0,1,2006,2,0
2006-02-20,FELONY,357.0,1,2006,2,0
2006-02-21,MISDEMEANOR,828.0,1,2006,2,1
2006-02-21,FELONY,459.0,1,2006,2,1
2006-02-21,VIOLATION,162.0,1,2006,2,1
2006-02-22,FELONY,435.0,1,2006,2,2
2006-02-22,VIOLATION,167.0,1,2006,2,2
2006-02-22,MISDEMEANOR,775.0,1,2006,2,2
2006-02-23,MISDEMEANOR,739.0,1,2006,2,3
2006-02-23,FELONY,450.0,1,2006,2,3
2006-02-23,VIOLATION,176.0,1,2006,2,3
2006-02-24,VIOLATION,160.0,1,2006,2,4
2006-02-24,FELONY,392.0,1,2006,2,4
2006-02-24,MISDEMEANOR,752.0,1,2006,2,4
2006-02-25,FELONY,381.0,1,2006,2,5
2006-02-25,MISDEMEANOR,736.0,1,2006,2,5
2006-02-25,VIOLATION,159.0,1,2006,2,5
2006-02-26,VIOLATION,144.0,1,2006,2,6
2006-02-26,MISDEMEANOR,616.0,1,2006,2,6
2006-02-26,FELONY,324.0,1,2006,2,6
2006-02-27,FELONY,425.0,1,2006,2,0
2006-02-27,VIOLATION,182.0,1,2006,2,0
2006-02-27,MISDEMEANOR,679.0,1,2006,2,0
2006-02-28,MISDEMEANOR,768.0,1,2006,2,1
2006-02-28,VIOLATION,187.0,1,2006,2,1
2006-02-28,FELONY,490.0,1,2006,2,1
2006-03-01,FELONY,609.0,1,2006,3,2
2006-03-01,MISDEMEANOR,965.0,1,2006,3,2
2006-03-01,VIOLATION,214.0,1,2006,3,2
2006-03-02,MISDEMEANOR,750.0,1,2006,3,3
2006-03-02,VIOLATION,182.0,1,2006,3,3
2006-03-02,FELONY,417.0,1,2006,3,3
2006-03-03,VIOLATION,175.0,1,2006,3,4
2006-03-03,FELONY,498.0,1,2006,3,4
2006-03-03,MISDEMEANOR,848.0,1,2006,3,4
2006-03-04,FELONY,419.0,1,2006,3,5
2006-03-04,MISDEMEANOR,780.0,1,2006,3,5
2006-03-04,VIOLATION,154.0,1,2006,3,5
2006-03-05,VIOLATION,148.0,1,2006,3,6
2006-03-05,MISDEMEANOR,662.0,1,2006,3,6
2006-03-05,FELONY,358.0,1,2006,3,6
2006-03-06,VIOLATION,207.0,1,2006,3,0
2006-03-06,MISDEMEANOR,806.0,1,2006,3,0
2006-03-06,FELONY,446.0,1,2006,3,0
2006-03-07,VIOLATION,198.0,1,2006,3,1
2006-03-07,MISDEMEANOR,832.0,1,2006,3,1
