10280,12
10282,8
10301,93
10302,36
10303,67
10304,72
10305,65
10306,74
10307,30
10308,31
10309,48
10310,38
10312,73
10314,123
11354,33
11355,18
11356,9
11357,20
11358,15
11360,12
11361,13
11362,2
11364,9
11365,19
11366,10
11367,18
11368,87
11369,41
11370,29
11371,3
11372,121
11373,42
11374,27
11375,54
11377,50
11378,53
11379,51
11385,116
11411,17
11412,32
11413,53
11414,28
11415,4
11416,9
11417,21
11418,20
11419,23
11420,30
11421,15
11422,29
11423,22
11426,12
11427,14
11428,18
11429,19
11432,137
11433,57
11434,81
11435,46
11436,10
10451,93
10452,78
10453,70
10454,139
10455,161
10456,123
10457,104
10458,109
10459,134
10460,65
10461,38
10462,43
10463,74
10464,3
10465,22
10466,60
10467,114
10468,90
10469,58
10470,10
10471,26
10472,61
10473,65
10474,34
10475,20
11004,6
10001,65
10002,58
10003,97
10004,13
10005,10
10006,5
10007,21
10009,78
10010,77
10011,125
10012,48
10013,86
10014,56
10016,80
10017,46
10018,43
10019,65
10021,44
10022,66
10023,194
10024,153
10025,94
10026,30
10027,109
10028,50
10029,160
10030,42
10031,88
10032,49
10033,45
10034,26
10035,113
10036,90
10037,34
10038,30
10039,46
10040,23
10044,3
10065,33
10069,8
10075,23
11101,45
11102,26
11103,34
11104,20
11105,22
11106,34
11109,4
10107,2
10128,42
11691,94
11692,24
11693,23
11694,35
11697,39
11201,90
11203,114
11204,42
11205,61
11206,128
11207,225
11208,186
11209,70
11210,59
11211,48
11212,190
11213,72
11214,82
11215,30
11216,71
11217,33
11218,20
11219,21
11220,67
11221,79
11222,32
11223,84
11224,78
11225,71
11226,141
11228,30
11229,73
11230,47
11231,26
11232,24
11233,139
11234,74
11235,54
11236,74
11237,40
11238,52
11239,10
11249,15
